Model,MAE,RMSE,MAPE (%),R²
MA3,1190452829.0123456,1774500574.1140168,16.40828791814888,-0.4019401937079352
LSTM_seq5,1019688948.5185186,1576559146.4579303,13.9874536671362,-0.10661801432200213
LSTM_seq7,988385644.074074,1532207714.8771818,13.674565714120568,-0.0452314969706471
LSTM_seq10,936633597.4074074,1534785648.008448,12.523482563931609,-0.048751651128974505
